customer_id,gender,months_subscribed,subscription_type,streaming_quality,payment_mode,monthly_plan_cost,total_revenue,subscription_canceled,app_usage_hours,customer_rating,promo_email_clicks,device_type
CUST_00000,Male,31,Annual,Standard,Credit Card,385.42,12333.44,No,4.23,5,1,Mobile
CUST_00001,Female,38,Monthly,Standard,Wallet,275.22,10733.580000000002,No,3.61,2,8,Mobile
CUST_00002,Male,31,Monthly,Premium,Wallet,153.5,4912.0,No,1.97,5,2,Mobile
CUST_00003,Male,3,Annual,Premium,Wallet,453.81,1815.24,Yes,5.33,4,4,SmartTV
CUST_00004,Male,29,Monthly,Premium,Debit Card,221.75,6652.5,Yes,4.89,5,9,SmartTV
CUST_00005,Female,36,Annual,Standard,UPI,293.6,10863.2,No,4.12,4,7,Mobile
CUST_00006,Male,22,Annual,Standard,UPI,456.91,10508.93,No,5.18,4,1,SmartTV
CUST_00007,Male,38,Annual,Basic,UPI,329.91,12866.490000000002,No,5.27,4,5,Desktop
CUST_00008,Male,44,Monthly,Standard,Debit Card,101.6,4572.0,No,4.4,4,11,Desktop
CUST_00009,Female,14,Monthly,Standard,UPI,471.92,7078.8,No,5.1,4,4,Desktop
CUST_00010,Male,42,Annual,Standard,Debit Card,331.47,14253.210000000001,Yes,4.34,2,9,Mobile
CUST_00011,Male,28,Monthly,Premium,Wallet,199.71,5791.59,No,4.24,1,8,SmartTV
CUST_00012,Male,35,Monthly,Basic,Credit Card,111.67,4020.12,No,3.9,3,11,Mobile
CUST_00013,Male,12,Monthly,Standard,UPI,406.31,5282.03,No,4.64,1,4,SmartTV
CUST_00014,Female,31,Annual,Basic,UPI,328.03,10496.96,No,1.37,4,1,Desktop
CUST_00015,Male,6,Quarterly,Standard,Wallet,289.06,2023.42,Yes,5.34,2,4,Mobile
CUST_00016,Female,21,Monthly,Basic,Credit Card,451.25,9927.5,Yes,5.3,5,11,SmartTV
CUST_00017,Female,27,Monthly,Basic,Debit Card,403.87,11308.36,No,0.66,2,3,SmartTV
CUST_00018,Female,1,Quarterly,Basic,Credit Card,117.25,234.5,Yes,5.04,4,10,Desktop
CUST_00019,Male,41,Annual,Standard,Wallet,189.27,7949.34,No,1.21,2,6,Mobile
CUST_00020,Female,44,Monthly,Standard,Wallet,160.82,7236.9,No,2.34,2,5,Mobile
